이름,학번,1지망,2지망,3지망
한지수,2014101009,Team_X,Space_Place,Nothing
장지윤,2016100508,Team_X,Space_Place,Mu
이영환,2015100407,Team_X,Space_Place,Small_Space
윤준형,2014100402,Mu,Team_X,Space_Place
한승윤,2014102005,Small_Space,Team_X,Space_Place
조다은,2014102006,Mu,Space_Place,Sof
최재협,2014102007,Team_X,Sof,Nothing
자바,2014102008,Nothing,Nothing,Nothing
파이선,2014102009,Nothing,Nothing,Nothing
루비,2014102010,Nothing,Nothing,Nothing
파리,2014102011,Mu,Space_Place,Small_Space
로마,2014102012,Mu,Team_X,Small_Space
한국,2014102013,Mu,Sof,Arch
미국,2014102014,Space_Place,Arch,Team_X
캐나다,2014102015,Space_Place,Arch,Nothing
박지상,2014102016,Space_Place,Sof,Arch
류다재,2014102017,Space_Place,Sof,Arch
리락쿠마,2014102018,Arch,Space_Place,Sof
강다니엘,2014102019,Arch,Space_Place,Sof
신예은,2014102020,Arch,Sof,Team_X
김도한,2014102021,Arch,Team_X,Small_Space
파피용,2014102022,Small_Space,Arch,Team_X
존,2014102023,Small_Space,Arch,Team_X
맥도날드,2014102024,Small_Space,Arch,Sof
버거킹,2014102025,Small_Space,Arch,Sof
구글,2014102026,Team_X,Small_Space,Space_Place
네이버,2014102027,Team_X,Small_Space,Space_Place
다음,2014102028,Team_X,Arch,Sof
안도,2014102029,Small_Space,Sof,Team_X
뷔지에,2014102030,Small_Space,Team_X,Arch
김인한,2014102031,Small_Space,Space_Place,Sof
김일현,2014102032,Arch,Nothing,Nothing
문희,2014102033,Arch,Nothing,Nothing
정지은,2014102034,Arch,Small_Space,Space_Place
백승재,2014102035,Sof,Team_X,Small_Space
박인범,2014102036,Sof,Small_Space,Space_Place
조유향,2014102037,Sof,Mu,Sof
이고잉,2014102038,Mu,Space_Place,Sof
호올스,2014102039,Mu,Space_Place,Sof
백예린,2014102040,Mu,Space_Place,Nothing
탑,2014102041,Mu,Small_Space,Sof
장지원,2014102042,Small_Space,Team_X,Space_Place
장용성,2014102043,Small_Space,Team_X,Space_Place
아이유,2014102044,Space_Place,Team_X,Mu
장기용,2014102045,Space_Place,Sof,Mu
닉,2014102046,Small_Space,Sof,Arch
강인서,2014102047,Team_X,Arch,Sof
정세진,2014102048,Team_X,Arch,Sof
베르나르,2014102049,Arch,Sof,Team_X
강동원,2014102050,Arch,Sof,Mu
원빈,2014102051,Small_Space,Space_Place,Mu
이나영,2014102052,Small_Space,Space_Place,Mu
강타,2014102053,Arch,Team_X,Mu
신동엽,2014102054,Arch,Team_X,Sof
태연,2014102055,Arch,Team_X,Sof
티파니,2014102056,Mu,Sof,Arch
크리스탈,2014102057,Mu,Arch,Team_X
효연,2014102058,Mu,Arch,Sof
장도연,2014102059,Small_Space,Space_Place,Mu
